job_title,company,location,category,salary,experience_years,posted_date
DevOps Engineer,Amazon,Hyderabad,Web Development,860730,3,29-01-2024
AI Engineer,Capgemini,Kolkata,AI,515190,2,24-11-2025
Frontend Developer,Infosys,Kolkata,Cloud,500391,2,26-02-2024
Frontend Developer,HCLTech,Chennai,Software Development,1362898,5,27-08-2024
Data Scientist,Capgemini,Noida,AI,1142682,4,15-10-2024
Python Developer,Capgemini,Remote,Cloud,746026,3,03-05-2024
Software Developer,IBM,Jaipur,Web Development,1502230,5,13-03-2025
DevOps Engineer,Cognizant,Noida,AI,579091,2,23-06-2024
AI Engineer,Capgemini,Remote,Cloud,1233410,5,21-03-2025
Cloud Engineer,Wipro,Hyderabad,Cloud,252888,1,05-02-2025
DevOps Engineer,Amazon,Noida,DevOps,1521745,5,08-03-2024
AI Engineer,Deloitte,Jaipur,Analytics,554024,2,30-11-2024
Data Analyst,Wipro,Pune,Analytics,676316,3,10-03-2025
Cloud Engineer,Amazon,Ahmedabad,AI,514015,2,07-07-2025
Python Developer,HCLTech,Delhi,Cloud,1190626,4,06-07-2025
Business Analyst,Google,Kolkata,Cloud,641415,3,11-12-2025
AI Engineer,Zoho,Bangalore,Data Science,999775,4,26-11-2024
Full Stack Developer,Amazon,Mumbai,Software Development,1294879,5,06-08-2025
Cloud Engineer,Zoho,Gurgaon,AI,1360344,5,27-10-2024
Backend Developer,Zoho,Chennai,Data Science,398943,1,01-04-2025
DevOps Engineer,Deloitte,Ahmedabad,DevOps,424238,2,19-04-2024
Machine Learning Engineer,Microsoft,Mumbai,Analytics,594848,2,10-09-2024
Business Analyst,Amazon,Mumbai,Cloud,1542009,5,07-02-2024
AI Engineer,Capgemini,Mumbai,Cloud,432067,2,17-06-2025
Backend Developer,Google,Gurgaon,Cloud,822415,3,28-07-2025
DevOps Engineer,Accenture,Ahmedabad,Analytics,1229946,5,07-03-2025
Data Analyst,Google,Noida,Analytics,920503,4,09-11-2025
Data Scientist,Zoho,Noida,Software Development,516724,2,07-02-2024
